altura	hibrido	nivel	tiempo
9.67	dash	control	15
9.17	dash	control	15
9.33	dash	control	15
10.58	dash	control	15
9.08	dash	N50	15
9.25	dash	N50	15
10.50	dash	N50	15
9.83	dash	N50	15
8.75	dash	N150	15
10.33	dash	N150	15
9.17	dash	N150	15
10.42	dash	N150	15
8.92	dash	N100	15
9.42	dash	N100	15
9.25	dash	N100	15
11.00	dash	N100	15
27.00	dash	control	30
24.67	dash	control	30
25.50	dash	control	30
29.33	dash	control	30
25.33	dash	N50	30
28.33	dash	N50	30
29.00	dash	N50	30
26.50	dash	N50	30
27.00	dash	N150	30
26.50	dash	N150	30
24.67	dash	N150	30
30.00	dash	N150	30
27.17	dash	N100	30
24.33	dash	N100	30
25.17	dash	N100	30
31.00	dash	N100	30
44.67	dash	control	45
38.33	dash	control	45
39.83	dash	control	45
42.00	dash	control	45
41.50	dash	N50	45
46.00	dash	N50	45
40.67	dash	N50	45
39.17	dash	N50	45
43.33	dash	N150	45
41.67	dash	N150	45
36.83	dash	N150	45
44.67	dash	N150	45
42.67	dash	N100	45
37.67	dash	N100	45
39.33	dash	N100	45
44.17	dash	N100	45
9.30	megaton	control	15
10.00	megaton	control	15
9.33	megaton	control	15
9.92	megaton	control	15
8.92	megaton	N50	15
9.50	megaton	N50	15
9.58	megaton	N50	15
10.83	megaton	N50	15
9.50	megaton	N150	15
9.42	megaton	N150	15
9.00	megaton	N150	15
10.83	megaton	N150	15
9.00	megaton	N100	15
9.17	megaton	N100	15
10.08	megaton	N100	15
10.58	megaton	N100	15
25.83	megaton	control	30
25.17	megaton	control	30
27.17	megaton	control	30
29.83	megaton	control	30
27.83	megaton	N50	30
26.00	megaton	N50	30
28.00	megaton	N50	30
32.17	megaton	N50	30
25.17	megaton	N150	30
27.67	megaton	N150	30
25.83	megaton	N150	30
33.67	megaton	N150	30
31.67	megaton	N100	30
26.00	megaton	N100	30
24.17	megaton	N100	30
30.00	megaton	N100	30
44.00	megaton	control	45
42.33	megaton	control	45
42.67	megaton	control	45
46.17	megaton	control	45
48.00	megaton	N50	45
42.67	megaton	N50	45
43.50	megaton	N50	45
50.33	megaton	N50	45
47.00	megaton	N150	45
43.17	megaton	N150	45
40.17	megaton	N150	45
47.33	megaton	N150	45
47.50	megaton	N100	45
44.50	megaton	N100	45
40.83	megaton	N100	45
43.83	megaton	N100	45







